Reference,Quantity,Name,Description,Unit Price,Total,Ratings,Vendor Link,Datasheet
,1,ESP32,ESP32 Dev board,$9.50 ,$9.50 ,"5V, 250mA",https://www.amazon.ca/ELEGOO-ESP-WROOM-32-Development-Bluetooth-Microcontroller/dp/B0D8T5Z1QD/ref=sr_1_9?crid=1AJ3FXUQ0MLCQ&dib=eyJ2IjoiMSJ9.lW7Jwf4qJMv6bzk-YdeG-Jq3RXy6RyBgMxF5p4T4tXE7BpDRvUkkY5GC3q9GmHOv13dsDC2xsAcVYfPQJIXQU3Qdlrp3bXAB6Aj5MgPS96IAA5onMjIPG7h7x4CfyxLft3fQWZC0z8SaM0vFSX7Xm4efalTGPL4ZGFrFRBQkFW8tlcM8j5t9ycKQouGPp6dzhQo9QZ8R70d-jIia0JVuVEJ4rp7YAdYGa-jakdhq0mv77IblD007P2e4PfFKNGrEBnmbiFKtORT99OwPulhUtzyKC3FB1UukgkwBFtdx4v0.bRpYE5_w64Sb7J_HxL-3s_jGWCIfCG5mix01iKok2kk&dib_tag=se&keywords=esp32&qid=1770684636&sprefix=esp%2Caps%2C209&sr=8-9&th=1,https://wiki.elegoo.com/oshw-getting-started-kits/first-look-esp32
,1,Battery,12V rechargeable battery,$29.99 ,$29.99 ,"12V, 3000mAh",https://www.amazon.ca/dp/B0DK1JDGXK?ref=ppx_yo2ov_dt_b_fed_asin_title,
,1,11CEY25F243A,Rotary encoder,$4.07 ,$4.07 ,"5V, 0.5mA",https://www.digikey.ca/en/products/detail/cts-electrocomponents/11CEY25F243A/13153010,https://www.ctscorp.com/Files/DataSheets/Encoders/encoders-11CE-datasheet.pdf
U2,1,AD8221,Instrumentation amplifier,$11.81 ,$11.81 ,"36V, 0.5nA",https://www.digikey.ca/en/products/detail/analog-devices-inc/AD8221BRZ-R7/996059,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8221.pdf
U3,1,OPA820,Active filter op amp,$6.11 ,$6.11 ,"5-12V, 5.6mA",https://www.digikey.ca/en/products/detail/texas-instruments/OPA820IDBVR/1572956,https://www.ti.com/lit/ds/symlink/opa820.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1768174577383&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fopa820
U4,1,TC4420,IC Driver,$2.77 ,$2.77 ,"18V, 6A",https://www.digikey.ca/en/products/detail/microchip-technology/TC4420EOA/442852,https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/21419D.pdf
Q1,1,SSM3K336R,NMOSFET,$0.68 ,$0.68 ,4.5V,https://www.digikey.ca/en/products/detail/toshiba-semiconductor-and-storage/SSM3K336R-LF/5409244,https://toshiba.semicon-storage.com/info/SSM3K336R_datasheet_en_20250220.pdf?did=13694&prodName=SSM3K336R
U1,1,AP62301,Buck converter,$0.55 ,$0.55 ,4.2-12V,https://www.digikey.ca/en/products/detail/diodes-incorporated/AP62301WU-7/12349279,https://www.diodes.com/assets/Datasheets/AP62300_AP62301_AP62300T.pdf
D1,1,CDBA340L-HF,flyback diode,$1.46 ,$1.46 ,"40V, 3A",https://www.digikey.ca/en/products/detail/comchip-technology/CDBA340L-HF/3308142,https://www.comchiptech.com/upload/2026_01_13/12_20260113085742bhn1130.pdf
D2,1,APT2012LZGCK,green LED,$0.80 ,$0.80 ,"2.65V, 2mA",https://www.digikey.ca/en/products/detail/kingbright/APT2012LZGCK/5177440,https://www.kingbrightusa.com/images/catalog/SPEC/APT2012LZGCK.pdf
